        s / mm                Y (7)/real
               112.03033                   0.00040916559
               112.58248                   0.00037998651
               113.13464                   0.00034906879
               113.68679                   0.00031626846
               114.23894                   0.00028176602
                114.7911                   0.00024575875
               115.34325                   0.00020811515
                115.8954                    0.0001689505
               116.44756                   0.00012860661
               116.99971                   8.7046403e-05
               117.55186                   4.4250932e-05
               118.10402                   5.8027104e-07
               118.65617                  -4.3785538e-05
               119.20832                  -8.8839549e-05
               119.76048                  -0.00013433251
               120.31263                  -0.00018001349
               120.86478                  -0.00022575306
               121.41693                  -0.00027132848
               121.96909                  -0.00031648212
               122.52124                  -0.00036099393
               123.07339                  -0.00040464011
               123.62555                  -0.00044717042
                124.1777                  -0.00048829543
               124.72985                  -0.00052778326
               125.28201                  -0.00056542882
               125.83416                  -0.00060093901
               126.38631                  -0.00063404103
               126.93847                  -0.00066448705
               127.49062                   -0.0006920275
               128.04277                  -0.00071650938
               128.59492                  -0.00073767836
               129.14708                  -0.00075517982
               129.69923                  -0.00076892467
               130.25138                    -0.000778852
               130.80354                  -0.00078462949
               131.35569                   -0.0007860745
               131.90784                  -0.00078324012
                  132.46                   -0.0007759832
               133.01215                  -0.00076407696
                133.5643                  -0.00074756116
               134.11646                  -0.00072654479
               134.66861                  -0.00070094331
               135.22076                  -0.00067068633
               135.77291                  -0.00063593819
               136.32507                   -0.0005968983
               136.87722                   -0.0005535955
               137.42937                  -0.00050612153
               137.98153                  -0.00045480569
               138.53368                  -0.00039990944
               139.08583                  -0.00034154582
               139.63799                   -0.0002800244
               140.19014                  -0.00021578995
               140.74229                  -0.00014912656
               141.29445                  -8.0312704e-05
                141.8466                  -9.7997261e-06
               142.39875                   6.1939613e-05
                142.9509                   0.00013449941
               143.50306                   0.00020746634
               144.05521                   0.00028039789
               144.60736                   0.00035281635
               145.15952                   0.00042417232
               145.71167                   0.00049396498
               146.26382                   0.00056183235
               146.81598                   0.00062730411
               147.36813                   0.00068975201
               147.92028                   0.00074873455
               148.47244                   0.00080393551
               149.02459                   0.00085486524
               149.57674                    0.0009010373
               150.12889                   0.00094211048
               150.68105                   0.00097772649
                151.2332                    0.0010075436
               151.78535                    0.0010312851
               152.33751                    0.0010486578
               152.88966                    0.0010594239
               153.44181                    0.0010634351
               153.99397                    0.0010605519
               154.54612                    0.0010506452
               155.09827                    0.0010336629
               155.65043                    0.0010096735
               156.20258                   0.00097873675
               156.75473                    0.0009408336
               157.30688                   0.00089612642
               157.85904                   0.00084495537
               158.41119                   0.00078752334
               158.96334                   0.00072400028
                159.5155                   0.00065477249
               160.06765                   0.00058033807
                160.6198                   0.00050112135
               161.17196                   0.00041746759
               161.72411                   0.00032986982
               162.27626                   0.00023904012
               162.82842                   0.00014555242
               163.38057                   4.9824644e-05
               163.93272                  -4.7462962e-05
               164.48487                  -0.00014549856
               165.03703                  -0.00024370828
               165.58918                  -0.00034152744
               166.14133                  -0.00043817356
               166.69349                  -0.00053290103
               167.24564                  -0.00062511436
               167.79779                  -0.00071417234
               168.34995                   -0.0007993669
                168.9021                  -0.00088006056
               169.45425                  -0.00095565972
               170.00641                   -0.0010255586
               170.55856                   -0.0010892177
               171.11071                   -0.0011461404
               171.66286                   -0.0011957943
               172.21502                   -0.0012377504
               172.76717                   -0.0012717103
               173.31932                   -0.0012973125
               173.87148                   -0.0013142276
               174.42363                   -0.0013222955
               174.97578                   -0.0013213689
               175.52794                   -0.0013113352
               176.08009                   -0.0012921786
               176.63224                   -0.0012638942
                177.1844                   -0.0012266313
               177.73655                   -0.0011806273
                178.2887                   -0.0011259792
               178.84086                   -0.0010629651
               179.39301                   -0.0009921198
               179.94516                  -0.00091380318
               180.49731                  -0.00082835606
               181.04947                  -0.00073637969
               181.60162                   -0.0006385147
               182.15377                  -0.00053538748
               182.70593                  -0.00042764266
               183.25808                  -0.00031593722
               183.81023                  -0.00020109938
               184.36239                  -8.3935696e-05
               184.91454                   3.4896912e-05
               185.46669                   0.00015451101
