        Frequency / GHz                X (8)/abs,linear
               2.3170183                       4.6082725
                2.322483                       4.6038017
               2.3279476                       4.5989716
               2.3334123                       4.5941229
                2.338877                       4.5896022
               2.3443416                        4.585744
               2.3498063                       4.5828523
                2.355271                       4.5811838
               2.3607356                       4.5809332
               2.3662003                       4.5822215
               2.3716649                       4.5850887
               2.3771296                       4.5894907
               2.3825943                       4.5953009
               2.3880589                       4.6023167
               2.3935236                         4.61027
               2.3989883                       4.6188417
               2.4044529                        4.627678
               2.4099176                       4.6364101
               2.4153823                       4.6446725
               2.4208469                       4.6521229
               2.4263116                       4.6584592
               2.4317763                       4.6634356
               2.4372409                       4.6668753
               2.4427056                       4.6686796
               2.4481703                       4.6688339
               2.4536349                       4.6674087
               2.4590996                       4.6645579
               2.4645643                       4.6605114
               2.4700289                       4.6555646
               2.4754936                       4.6500649
               2.4809583                       4.6443936
               2.4864229                       4.6389474
               2.4918876                        4.634117
               2.4973523                       4.6302664
               2.5028169                       4.6277127
               2.5082816                       4.6267079
               2.5137463                       4.6274243
               2.5192109                       4.6299435
               2.5246756                       4.6342515
               2.5301403                       4.6402382
               2.5356049                       4.6477028
               2.5410696                       4.6563644
               2.5465343                       4.6658768
               2.5519989                       4.6758472
               2.5574636                       4.6858569
               2.5629283                       4.6954835
               2.5683929                       4.7043227
               2.5738576                       4.7120094
               2.5793222                       4.7182364
               2.5847869                       4.7227701
               2.5902516                       4.7254627
               2.5957162                       4.7262605
               2.6011809                       4.7252068
               2.6066456                       4.7224418
               2.6121102                        4.718196
               2.6175749                       4.7127802
               2.6230396                       4.7065713
               2.6285042                       4.6999936
               2.6339689                       4.6934977
               2.6394336                       4.6875373
               2.6448982                       4.6825451
               2.6503629                       4.6789086
               2.6558276                       4.6769487
               2.6612922                       4.6769004
               2.6667569                       4.6788989
               2.6722216                       4.6829706
               2.6776862                       4.6890309
               2.6831509                       4.6968874
               2.6886156                       4.7062505
               2.6940802                       4.7167487
               2.6995449                       4.7279482
               2.7050096                       4.7393767
               2.7104742                        4.750548
               2.7159389                       4.7609876
               2.7214036                       4.7702571
               2.7268682                       4.7779768
               2.7323329                       4.7838448
               2.7377976                       4.7876529
               2.7432622                       4.7892969
               2.7487269                       4.7887834
               2.7541916                       4.7862303
               2.7596562                       4.7818623
               2.7651209                       4.7760017
               2.7705855                       4.7690531
               2.7760502                        4.761485
               2.7815149                       4.7538063
               2.7869795                       4.7465404
               2.7924442                        4.740198
               2.7979089                       4.7352487
               2.8033735                       4.7320953
               2.8088382                       4.7310497
               2.8143029                       4.7323141
               2.8197675                       4.7359687
               2.8252322                       4.7419653
               2.8306969                       4.7501292
               2.8361615                       4.7601679
               2.8416262                       4.7716869
               2.8470909                       4.7842109
               2.8525555                       4.7972099
               2.8580202                        4.810127
               2.8634849                       4.8224077
               2.8689495                       4.8335291
               2.8744142                       4.8430261
               2.8798789                       4.8505149
               2.8853435                        4.855713
               2.8908082                       4.8584532
               2.8962729                       4.8586928
               2.9017375                       4.8565171
               2.9072022                       4.8521368
               2.9126669                       4.8458795
               2.9181315                       4.8381751
               2.9235962                       4.8295364
               2.9290609                       4.8205342
               2.9345255                       4.8117688
               2.9399902                        4.803839
               2.9454549                       4.7973097
               2.9509195                       4.7926804
               2.9563842                       4.7903563
               2.9618489                       4.7906236
               2.9673135                       4.7936321
               2.9727782                       4.7993846
               2.9782428                       4.8077351
               2.9837075                       4.8183967
               2.9891722                       4.8309561
               2.9946368                        4.844897
               3.0001015                       4.8596275
               3.0055662                       4.8745128
               3.0110308                       4.8889079
               3.0164955                       4.9021921
               3.0219602                       4.9138001
               3.0274248                       4.9232506
               3.0328895                       4.9301704
               3.0383542                       4.9343133
               3.0438188                       4.9355728
               3.0492835                       4.9339887
               3.0547482                       4.9297467
               3.0602128                       4.9231721
               3.0656775                       4.9147155
               3.0711422                       4.9049329
               3.0766068                       4.8944601
               3.0820715                       4.8839815
               3.0875362                       4.8741949
               3.0930008                       4.8657748
               3.0984655                        4.859335
               3.1039302                       4.8553931
               3.1093948                       4.8543397
               3.1148595                       4.8564136
               3.1203242                       4.8616866
               3.1257888                       4.8700568
               3.1312535                       4.8812537
               3.1367182                        4.894852
               3.1421828                       4.9102957
               3.1476475                       4.9269281
