        s / mm                X/real
              -60.485885                   0.00055077649
              -60.205054                   0.00057981523
              -59.924222                    0.0006102508
               -59.64339                   0.00064214259
              -59.362559                   0.00067555228
              -59.081727                   0.00071054407
              -58.800895                   0.00074718397
              -58.520063                   0.00078554015
              -58.239232                   0.00082568359
                -57.9584                   0.00086768759
              -57.677568                   0.00091162769
              -57.396737                   0.00095758213
              -57.115905                    0.0010056318
              -56.835073                    0.0010558598
              -56.554242                    0.0011083523
               -56.27341                    0.0011631985
              -55.992578                    0.0012204901
              -55.711746                    0.0012803215
              -55.430915                    0.0013427899
              -55.150083                    0.0014079962
              -54.869251                     0.001476044
               -54.58842                    0.0015470397
              -54.307588                    0.0016210925
              -54.026756                    0.0016983158
              -53.745925                    0.0017788256
              -53.465093                    0.0018627414
              -53.184261                    0.0019501864
               -52.90343                    0.0020412865
              -52.622598                    0.0021361707
              -52.341766                    0.0022349723
              -52.060934                    0.0023378282
              -51.780103                    0.0024448781
              -51.499271                    0.0025562658
              -51.218439                    0.0026721395
              -50.937608                     0.002792649
              -50.656776                    0.0029179485
              -50.375944                    0.0030481974
              -50.095113                    0.0031835582
              -49.814281                    0.0033241948
              -49.533449                    0.0034702771
              -49.252617                    0.0036219802
              -48.971786                    0.0037794804
              -48.690954                    0.0039429578
              -48.410122                    0.0041125969
              -48.129291                     0.004288586
              -47.848459                    0.0044711182
              -47.567627                      0.00466039
              -47.286796                    0.0048565991
              -47.005964                     0.005059948
              -46.725132                    0.0052706458
                -46.4443                    0.0054889036
              -46.163469                    0.0057149343
              -45.882637                    0.0059489556
              -45.601805                    0.0061911895
              -45.320974                    0.0064418591
              -45.040142                    0.0067011918
               -44.75931                     0.006969422
              -44.478479                    0.0072467839
              -44.197647                    0.0075335124
              -43.916815                    0.0078298489
              -43.635983                    0.0081360378
              -43.355152                    0.0084523253
               -43.07432                    0.0087789613
              -42.793488                    0.0091161954
              -42.512657                    0.0094642818
              -42.231825                    0.0098234789
