        Frequency / GHz                Y (2)/abs,linear
               4.0274587                       8.5802647
               4.0329233                       10.180692
                4.038388                       11.759512
               4.0438527                       13.280852
               4.0493173                       14.714339
                4.054782                       16.032721
               4.0602467                       17.210851
               4.0657113                       18.225279
                4.071176                       19.054146
               4.0766407                       19.677216
               4.0821053                          20.076
                 4.08757                       20.233912
               4.0930347                       20.136463
               4.0984993                       19.771472
                4.103964                       19.129312
               4.1094287                       18.203215
               4.1148933                       16.989703
                4.120358                       15.489308
               4.1258227                       13.707974
               4.1312873                       11.660311
                4.136752                       9.3785688
               4.1422167                       6.9434636
               4.1476813                       4.6232112
                4.153146                       3.5056736
               4.1586107                       5.0842294
               4.1640753                       8.1747541
                 4.16954                       11.819811
               4.1750047                       15.764562
               4.1804693                       19.916564
                4.185934                       24.223395
               4.1913987                       28.644894
               4.1968633                       33.145124
                4.202328                       37.689626
               4.2077926                       42.244435
               4.2132573                       46.775764
                4.218722                       51.249992
               4.2241866                       55.633795
               4.2296513                       59.894339
                4.235116                       63.999523
               4.2405806                       67.918227
               4.2460453                       71.620573
                 4.25151                       75.078184
               4.2569746                        78.26443
               4.2624393                       81.154671
                4.267904                       83.726475
               4.2733686                       85.959826
               4.2788333                       87.837306
                4.284298                       89.344255
               4.2897626                       90.468905
               4.2952273                       91.202493
                4.300692                       91.539337
               4.3061566                       91.476892
               4.3116213                       91.015772
                4.317086                       90.159741
               4.3225506                       88.915683
               4.3280153                       87.293532
                 4.33348                       85.306181
               4.3389446                       82.969362
               4.3444093                       80.301502
                4.349874                       77.323548
               4.3553386                       74.058778
               4.3608033                       70.532588
                4.366268                       66.772265
               4.3717326                        62.80674
               4.3771973                        58.66634
                4.382662                       54.382528
               4.3881266                       49.987649
               4.3935913                       45.514684
                4.399056                       40.997035
               4.4045206                       36.468352
               4.4099853                       31.962461
               4.4154499                       27.513487
               4.4209146                       23.156371
               4.4263793                       18.928332
               4.4318439                       14.872789
               4.4373086                        11.05086
               4.4427733                       7.5812858
               4.4482379                       4.8094454
               4.4537026                       3.8156971
               4.4591673                       5.1971665
               4.4646319                       7.4613946
               4.4700966                       9.7893065
               4.4755613                       11.958651
               4.4810259                       13.895925
               4.4864906                       15.570704
               4.4919553                       16.969365
               4.4974199                       18.086837
               4.5028846                       18.923462
               4.5083493                       19.483592
               4.5138139                       19.774851
               4.5192786                        19.80769
               4.5247433                       19.595066
               4.5302079                       19.152199
               4.5356726                       18.496362
               4.5411373                       17.646707
               4.5466019                       16.624135
               4.5520666                       15.451241
               4.5575313                       14.152365
               4.5629959                       12.753879
               4.5684606                       11.284884
               4.5739253                       9.7787623
               4.5793899                       8.2765018
               4.5848546                       6.8338573
               4.5903193                        5.536371
               4.5957839                       4.5250315
               4.6012486                       4.0024074
               4.6067133                        4.107487
               4.6121779                       4.7334714
               4.6176426                        5.641244
               4.6231072                       6.6486446
               4.6285719                       7.6522936
               4.6340366                       8.5950014
               4.6395012                       9.4432934
               4.6449659                       10.176452
               4.6504306                       10.781372
               4.6558952                       11.250047
               4.6613599                       11.578271
               4.6668246                       11.764909
               4.6722892                        11.81147
               4.6777539                        11.72182
               4.6832186                       11.502004
               4.6886832                       11.160116
               4.6941479                       10.706235
               4.6996126                       10.152426
               4.7050772                       9.5128476
               4.7105419                       8.8040155
               4.7160066                       8.0453213
               4.7214712                       7.2599674
               4.7269359                       6.4765264
               4.7324006                       5.7312923
               4.7378652                        5.071035
               4.7433299                          4.5537
               4.7487946                       4.2404176
               4.7542592                       4.1722349
               4.7597239                       4.3436408
