        s / mm                X (ytest=0)/real
               46.324115                  -0.00079508036
               46.876268                  -0.00083036288
               47.428421                  -0.00085951814
               47.980574                  -0.00088332013
               48.532727                  -0.00090242277
                49.08488                  -0.00091749916
               49.637033                  -0.00092930593
               50.189186                  -0.00093840948
               50.741339                  -0.00094514778
               51.293493                  -0.00095006698
               51.845646                  -0.00095374902
               52.397799                  -0.00095638207
               52.949952                  -0.00095813661
               53.502105                  -0.00095937687
               54.054258                  -0.00096029352
               54.606411                  -0.00096095462
               55.158564                  -0.00096147024
               55.710717                  -0.00096182671
                56.26287                  -0.00096193621
               56.815023                  -0.00096177417
               57.367177                   -0.0009612745
                57.91933                  -0.00096026399
               58.471483                  -0.00095853269
               59.023636                  -0.00095591115
               59.575789                  -0.00095221267
               60.127942                  -0.00094712685
               60.680095                  -0.00094036382
               61.232248                  -0.00093173982
               61.784401                  -0.00092097826
               62.336554                  -0.00090774221
               62.888707                  -0.00089178335
                63.44086                  -0.00087282749
               63.993014                  -0.00085057982
               64.545167                  -0.00082484322
                65.09732                  -0.00079542843
               65.649473                   -0.0007620837
               66.201626                  -0.00072456426
               66.753779                  -0.00068273369
               67.305932                  -0.00063655243
               67.858085                  -0.00058590091
               68.410238                  -0.00053062416
               68.962391                  -0.00047073003
               69.514544                  -0.00040626133
               70.066697                  -0.00033720583
               70.618851                  -0.00026365181
               71.171004                  -0.00018572517
               71.723157                  -0.00010352079
                72.27531                  -1.7252484e-05
               72.827463                   7.2805765e-05
               73.379616                    0.0001664609
               73.931769                   0.00026348014
               74.483922                   0.00036350276
               75.036075                   0.00046614449
               75.588228                   0.00057107266
               76.140381                   0.00067794415
               76.692534                   0.00078631862
               77.244688                   0.00089572243
               77.796841                     0.001005726
               78.348994                    0.0011158821
               78.901147                    0.0012257131
                 79.4533                    0.0013347441
               80.005453                     0.001442489
               80.557606                    0.0015484677
               81.109759                    0.0016522126
               81.661912                    0.0017532432
               82.214065                    0.0018510585
               82.766218                    0.0019451891
               83.318371                    0.0020352438
               83.870525                    0.0021207945
               84.422678                    0.0022013875
               84.974831                    0.0022766995
               85.526984                    0.0023463374
               86.079137                    0.0024098206
                86.63129                    0.0024669779
               87.183443                     0.002517672
               87.735596                    0.0025614146
               88.287749                    0.0025979127
               88.839902                    0.0026272127
               89.392055                    0.0026491025
               89.944208                    0.0026632762
               90.496362                    0.0026697693
               91.048515                    0.0026685913
               91.600668                    0.0026595483
               92.152821                    0.0026426559
               92.704974                    0.0026180826
               93.257127                    0.0025858201
                93.80928                    0.0025458757
               94.361433                    0.0024984255
               94.913586                    0.0024436164
               95.465739                    0.0023815966
               96.017892                    0.0023125921
               96.570046                    0.0022367851
               97.122199                    0.0021543882
               97.674352                    0.0020657096
               98.226505                    0.0019710051
               98.778658                    0.0018705186
               99.330811                    0.0017645817
               99.882964                    0.0016535124
               100.43512                    0.0015375995
               100.98727                    0.0014171855
               101.53942                    0.0012926375
               102.09158                    0.0011642838
               102.64373                    0.0010324323
               103.19588                   0.00089744805
               103.74804                   0.00075973762
               104.30019                   0.00061962618
               104.85234                   0.00047740621
               105.40449                   0.00033348214
               105.95665                   0.00018824895
                106.5088                   4.1972913e-05
               107.06095                  -0.00010503606
               107.61311                  -0.00025235636
               108.16526                  -0.00039961788
               108.71741                  -0.00054654278
               109.26957                  -0.00069283336
               109.82172                  -0.00083815218
               110.37387                  -0.00098217269
               110.92603                   -0.0011245471
               111.47818                   -0.0012649477
               112.03033                    -0.001403135
               112.58248                   -0.0015388017
               113.13464                   -0.0016715728
               113.68679                   -0.0018011922
               114.23894                   -0.0019273824
                114.7911                   -0.0020497959
               115.34325                   -0.0021682051
                115.8954                   -0.0022823292
               116.44756                   -0.0023917673
               116.99971                   -0.0024962905
               117.55186                   -0.0025957117
               118.10402                   -0.0026896535
               118.65617                   -0.0027777867
               119.20832                   -0.0028599222
               119.76048                   -0.0029358017
               120.31263                   -0.0030050974
               120.86478                   -0.0030675396
               121.41693                   -0.0031229206
               121.96909                   -0.0031709867
               122.52124                   -0.0032114193
               123.07339                   -0.0032440114
               123.62555                   -0.0032686264
                124.1777                   -0.0032849711
               124.72985                   -0.0032927885
               125.28201                   -0.0032920154
               125.83416                   -0.0032824763
               126.38631                   -0.0032638963
               126.93847                   -0.0032361898
               127.49062                   -0.0031993195
               128.04277                   -0.0031531312
               128.59492                   -0.0030975336
               129.14708                   -0.0030325666
               129.69923                   -0.0029582174
               130.25138                   -0.0028744057
               130.80354                   -0.0027812246
               131.35569                   -0.0026788769
               131.90784                   -0.0025673922
                  132.46                   -0.0024468308
               133.01215                   -0.0023175091
                133.5643                   -0.0021796963
               134.11646                   -0.0020335509
               134.66861                   -0.0018793958
               135.22076                   -0.0017176347
               135.77291                   -0.0015486143
               136.32507                   -0.0013727513
               136.87722                   -0.0011905558
               137.42937                   -0.0010025258
               137.98153                  -0.00080914934
               138.53368                  -0.00061101068
               139.08583                  -0.00040877568
               139.63799                  -0.00020304978
               140.19014                   5.5317544e-06
               140.74229                   0.00021618428
               141.29445                   0.00042818132
                141.8466                   0.00064088182
               142.39875                   0.00085347515
                142.9509                    0.0010650721
               143.50306                    0.0012749282
               144.05521                    0.0014822986
               144.60736                    0.0016863037
               145.15952                    0.0018860958
               145.71167                    0.0020809222
               146.26382                    0.0022699639
               146.81598                    0.0024523541
               147.36813                    0.0026273457
               147.92028                    0.0027942406
               148.47244                    0.0029522758
               149.02459                    0.0031006982
               149.57674                    0.0032388026
               150.12889                    0.0033659726
               150.68105                    0.0034817105
                151.2332                    0.0035854314
               151.78535                    0.0036764736
               152.33751                    0.0037544513
               152.88966                    0.0038191377
               153.44181                    0.0038700969
               153.99397                    0.0039069195
               154.54612                    0.0039295036
               155.09827                    0.0039377701
               155.65043                    0.0039315574
               156.20258                    0.0039108806
               156.75473                    0.0038758311
               157.30688                    0.0038264533
               157.85904                    0.0037630072
               158.41119                    0.0036858602
               158.96334                    0.0035952107
                159.5155                    0.0034914278
               160.06765                    0.0033751675
                160.6198                    0.0032469183
               161.17196                    0.0031071294
               161.72411                    0.0029565892
               162.27626                    0.0027960694
               162.82842                    0.0026261563
               163.38057                    0.0024477198
               163.93272                    0.0022617881
               164.48487                     0.002069079
               165.03703                    0.0018703782
