        s / mm                Y (5)/real
               140.74229                    0.0022568212
               141.29445                    0.0030701072
                141.8466                    0.0038762792
               142.39875                    0.0046731019
                142.9509                    0.0054581635
               143.50306                    0.0062290863
               144.05521                    0.0069837276
               144.60736                    0.0077198686
               145.15952                    0.0084351824
               145.71167                     0.009127567
               146.26382                    0.0097950487
               146.81598                     0.010435559
               147.36813                     0.011047109
               147.92028                     0.011627903
               148.47244                       0.0121762
               149.02459                     0.012690295
               149.57674                     0.013168654
               150.12889                     0.013609876
               150.68105                     0.014012562
                151.2332                     0.014375448
               151.78535                     0.014697575
               152.33751                     0.014978042
               152.88966                     0.015215869
               153.44181                      0.01541036
               153.99397                     0.015561156
               154.54612                     0.015667857
               155.09827                     0.015730062
               155.65043                     0.015747689
               156.20258                     0.015720923
               156.75473                     0.015649953
               157.30688                     0.015535031
               157.85904                     0.015376672
               158.41119                     0.015175554
               158.96334                     0.014932424
                159.5155                     0.014648235
               160.06765                     0.014324062
                160.6198                      0.01396099
               161.17196                     0.013560347
               161.72411                     0.013123689
               162.27626                     0.012652517
               162.82842                     0.012148379
               163.38057                     0.011613064
               163.93272                      0.01104848
               164.48487                     0.010456551
               165.03703                    0.0098392778
               165.58918                    0.0091986997
               166.14133                    0.0085369266
               166.69349                    0.0078562078
               167.24564                    0.0071587864
               167.79779                    0.0064468634
               168.34995                    0.0057227369
                168.9021                    0.0049887114
               169.45425                    0.0042470258
               170.00641                    0.0035000045
               170.55856                    0.0027499853
               171.11071                    0.0019991624
               171.66286                    0.0012497163
               172.21502                   0.00050386051
               172.76717                  -0.00023631241
               173.31932                  -0.00096877624
               173.87148                   -0.0016914511
               174.42363                   -0.0024023832
               174.97578                   -0.0030998447
               175.52794                   -0.0037820786
               176.08009                    -0.004447293
               176.63224                   -0.0050939561
                177.1844                   -0.0057206921
               177.73655                   -0.0063260685
                178.2887                   -0.0069087716
               178.84086                   -0.0074676798
               179.39301                   -0.0080017501
               179.94516                    -0.008510065
               180.49731                   -0.0089918182
               181.04947                   -0.0094462395
               181.60162                   -0.0098726907
               182.15377                    -0.010270719
               182.70593                    -0.010639969
               183.25808                     -0.01098013
               183.81023                    -0.011290957
               184.36239                    -0.011572358
               184.91454                    -0.011824383
               185.46669                    -0.012047093
               186.01885                    -0.012240586
                 186.571                    -0.012405125
               187.12315                    -0.012541065
                187.6753                    -0.012648728
               188.22746                    -0.012728494
               188.77961                      -0.0127809
               189.33176                     -0.01280649
               189.88392                    -0.012805753
               190.43607                     -0.01277928
               190.98822                     -0.01272774
               191.54038                    -0.012651757
               192.09253                    -0.012551964
               192.64468                    -0.012429037
               193.19684                     -0.01228362
               193.74899                     -0.01211637
               194.30114                    -0.011928004
               194.85329                    -0.011719191
               195.40545                    -0.011490497
                195.9576                    -0.011242517
               196.50975                    -0.010975948
               197.06191                    -0.010691394
               197.61406                     -0.01038933
               198.16621                    -0.010070307
               198.71837                   -0.0097349107
               199.27052                   -0.0093836343
               199.82267                   -0.0090169336
               200.37483                   -0.0086352419
               200.92698                    -0.008239023
               201.47913                   -0.0078287484
               202.03128                   -0.0074047419
               202.58344                   -0.0069673855
               203.13559                   -0.0065172194
               203.68774                   -0.0060545792
                204.2399                   -0.0055797233
               204.79205                   -0.0050931507
                205.3442                   -0.0045953169
               205.89636                   -0.0040865631
               206.44851                   -0.0035673467
               207.00066                   -0.0030381448
               207.55282                   -0.0024994581
               208.10497                   -0.0019518466
               208.65712                   -0.0013957803
               209.20927                  -0.00083187007
               209.76143                  -0.00026094574
               210.31358                   0.00031638626
               210.86573                   0.00089952909
               211.41789                    0.0014874604
               211.97004                    0.0020792384
               212.52219                    0.0026741775
               213.07435                    0.0032712022
                213.6265                    0.0038690218
               214.17865                    0.0044666805
               214.73081                    0.0050631021
               215.28296                    0.0056568079
               215.83511                    0.0062464809
               216.38726                    0.0068309232
               216.93942                    0.0074085852
               217.49157                    0.0079778799
               218.04372                    0.0085374068
               218.59588                    0.0090855348
               219.14803                    0.0096205206
               219.70018                     0.010140834
               220.25234                     0.010644799
               220.80449                     0.011130554
               221.35664                     0.011596452
                221.9088                     0.012040851
               222.46095                      0.01246189
                223.0131                     0.012857844
               223.56525                     0.013227144
               224.11741                     0.013568079
               224.66956                      0.01387894
               225.22171                     0.014158215
               225.77387                     0.014404413
               226.32602                     0.014616044
               226.87817                     0.014791757
               227.43033                     0.014930282
               227.98248                     0.015030404
               228.53463                     0.015091042
               229.08679                      0.01511124
               229.63894                      0.01509016
               230.19109                       0.0150271
               230.74325                     0.014921445
                231.2954                     0.014772751
               231.84755                     0.014580788
                232.3997                       0.0143454
               232.95186                     0.014066546
               233.50401                     0.013744476
               234.05616                     0.013379598
               234.60832                      0.01297234
               235.16047                      0.01252335
               235.71262                     0.012033572
               236.26478                     0.011504057
               236.81693                     0.010935923
               237.36908                     0.010330507
               237.92124                     0.009689391
               238.47339                    0.0090142593
               239.02554                    0.0083068597
               239.57769                    0.0075691614
               240.12985                    0.0068033671
                 240.682                    0.0060116874
               241.23415                    0.0051963834
               241.78631                    0.0043600105
               242.33846                     0.003505243
               242.89061                     0.002634657
               243.44277                    0.0017509885
               243.99492                   0.00085717816
               244.54707                  -4.3920404e-05
               245.09923                  -0.00094941626
               245.65138                    -0.001856219
               246.20353                   -0.0027613135
               246.75568                   -0.0036617781
               247.30784                   -0.0045545345
               247.85999                   -0.0054364962
               248.41214                   -0.0063047553
                248.9643                   -0.0071564116
               249.51645                   -0.0079885042
                250.0686                   -0.0087981782
               250.62076                   -0.0095827354
               251.17291                    -0.010339528
               251.72506                    -0.011065945
               252.27722                    -0.011759522
               252.82937                    -0.012417958
               253.38152                    -0.013039047
               253.93367                    -0.013620717
               254.48583                    -0.014161058
               255.03798                    -0.014658285
               255.59013                    -0.015110795
               256.14229                    -0.015517204
               256.69444                     -0.01587625
               257.24659                    -0.016186779
               257.79875                    -0.016447924
                258.3509                    -0.016659056
               258.90305                     -0.01681957
               259.45521                     -0.01692903
               260.00736                    -0.016987392
               260.55951                    -0.016994759
               261.11166                    -0.016951197
               261.66382                    -0.016857065
               262.21597                    -0.016713071
               262.76812                    -0.016519981
               263.32028                    -0.016278626
               263.87243                    -0.015990026
               264.42458                    -0.015655444
               264.97674                    -0.015276382
               265.52889                    -0.014854342
               266.08104                    -0.014390832
                266.6332                    -0.013887736
               267.18535                    -0.013347077
                267.7375                    -0.012770713
               268.28965                    -0.012160748
               268.84181                    -0.011519544
               269.39396                    -0.010849284
               269.94611                    -0.010152238
               270.49827                   -0.0094309582
               271.05042                   -0.0086878958
               271.60257                   -0.0079254197
               272.15473                   -0.0071461007
               272.70688                    -0.006352555
               273.25903                   -0.0055472807
               273.81119                   -0.0047327922
               274.36334                   -0.0039116575
