        s / mm                Y/real
              -60.485885                   0.00055077671
              -60.205054                   0.00057981542
              -59.924222                   0.00061025091
               -59.64339                   0.00064214265
              -59.362559                   0.00067555233
              -59.081727                   0.00071054408
              -58.800895                   0.00074718397
              -58.520063                   0.00078554016
              -58.239232                   0.00082568359
                -57.9584                   0.00086768756
              -57.677568                    0.0009116276
              -57.396737                   0.00095758197
              -57.115905                    0.0010056315
              -56.835073                    0.0010558595
              -56.554242                    0.0011083521
               -56.27341                    0.0011631984
              -55.992578                    0.0012204901
              -55.711746                    0.0012803213
              -55.430915                    0.0013427896
              -55.150083                    0.0014079959
              -54.869251                    0.0014760438
               -54.58842                    0.0015470394
              -54.307588                    0.0016210923
              -54.026756                    0.0016983156
              -53.745925                    0.0017788253
              -53.465093                    0.0018627412
              -53.184261                    0.0019501862
               -52.90343                    0.0020412861
              -52.622598                      0.00213617
              -52.341766                    0.0022349715
              -52.060934                    0.0023378276
              -51.780103                    0.0024448776
              -51.499271                    0.0025562653
              -51.218439                     0.002672139
              -50.937608                    0.0027926488
              -50.656776                    0.0029179483
              -50.375944                    0.0030481969
              -50.095113                    0.0031835574
              -49.814281                    0.0033241943
              -49.533449                    0.0034702771
              -49.252617                    0.0036219799
              -48.971786                    0.0037794799
              -48.690954                    0.0039429574
              -48.410122                    0.0041125966
              -48.129291                    0.0042885851
              -47.848459                    0.0044711167
              -47.567627                    0.0046603883
              -47.286796                    0.0048565974
              -47.005964                    0.0050599464
              -46.725132                    0.0052706442
                -46.4443                    0.0054889023
              -46.163469                    0.0057149332
              -45.882637                    0.0059489537
              -45.601805                    0.0061911864
              -45.320974                    0.0064418564
              -45.040142                    0.0067011905
               -44.75931                    0.0069694211
              -44.478479                    0.0072467826
              -44.197647                    0.0075335103
              -43.916815                    0.0078298462
              -43.635983                    0.0081360359
              -43.355152                    0.0084523246
               -43.07432                    0.0087789601
              -42.793488                    0.0091161938
              -42.512657                    0.0094642813
              -42.231825                    0.0098234794
              -41.950993                     0.010194043
              -41.670162                     0.010576234
               -41.38933                     0.010970316
              -41.108498                     0.011376554
              -40.827666                     0.011795212
              -40.546835                     0.012226556
              -40.266003                     0.012670851
              -39.985171                     0.013128368
               -39.70434                     0.013599377
              -39.423508                     0.014084148
              -39.142676                     0.014582949
              -38.861845                     0.015096046
              -38.581013                     0.015623714
              -38.300181                      0.01616622
              -38.019349                     0.016723829
              -37.738518                     0.017296809
              -37.457686                     0.017885426
              -37.176854                      0.01848994
              -36.896023                     0.019110616
              -36.615191                     0.019747712
              -36.334359                     0.020401473
              -36.053528                     0.021072163
              -35.772696                      0.02176004
              -35.491864                      0.02246533
              -35.211032                     0.023188274
              -34.930201                      0.02392913
              -34.649369                     0.024688117
              -34.368537                     0.025465446
              -34.087706                     0.026261359
              -33.806874                     0.027076073
              -33.526042                     0.027909777
              -33.245211                     0.028762682
              -32.964379                     0.029634991
              -32.683547                     0.030526877
              -32.402715                     0.031438514
              -32.121884                     0.032370079
              -31.841052                     0.033321733
               -31.56022                     0.034293624
              -31.279389                     0.035285895
              -30.998557                     0.036298678
              -30.717725                     0.037332086
              -30.436894                     0.038386221
              -30.156062                     0.039461187
               -29.87523                     0.040557076
              -29.594398                     0.041673951
              -29.313567                     0.042811861
              -29.032735                     0.043970853
              -28.751903                     0.045150971
              -28.471072                     0.046352237
               -28.19024                     0.047574626
              -27.909408                     0.048818121
              -27.628577                     0.050082719
              -27.347745                      0.05136837
              -27.066913                     0.052674988
              -26.786081                     0.054002506
               -26.50525                     0.055350832
              -26.224418                     0.056719831
              -25.943586                     0.058109379
              -25.662755                     0.059519343
              -25.381923                      0.06094954
              -25.101091                     0.062399765
               -24.82026                     0.063869816
              -24.539428                     0.065359463
              -24.258596                     0.066868448
              -23.977764                     0.068396514
              -23.696933                      0.06994337
              -23.416101                     0.071508679
              -23.135269                     0.073092121
              -22.854438                     0.074693356
              -22.573606                     0.076311976
              -22.292774                      0.07794759
              -22.011943                     0.079599795
              -21.731111                     0.081268113
              -21.450279                     0.082952084
              -21.169447                      0.08465125
              -20.888616                     0.086365063
              -20.607784                     0.088092988
              -20.326952                     0.089834512
              -20.046121                     0.091589006
              -19.765289                     0.093355844
              -19.484457                     0.095134476
              -19.203626                     0.096924225
              -18.922794                     0.098724372
              -18.641962                      0.10053427
               -18.36113                      0.10235322
              -18.080299                      0.10418043
              -17.799467                      0.10601516
              -17.518635                      0.10785665
              -17.237804                      0.10970408
              -16.956972                      0.11155667
               -16.67614                      0.11341352
              -16.395309                      0.11527377
              -16.114477                      0.11713656
              -15.833645                      0.11900099
              -15.552813                      0.12086615
              -15.271982                      0.12273105
               -14.99115                      0.12459476
              -14.710318                      0.12645635
              -14.429487                      0.12831478
              -14.148655                      0.13016905
              -13.867823                      0.13201815
              -13.586992                      0.13386103
               -13.30616                      0.13569663
              -13.025328                      0.13752394
              -12.744496                      0.13934189
              -12.463665                      0.14114934
              -12.182833                      0.14294516
              -11.902001                      0.14472831
               -11.62117                      0.14649772
              -11.340338                      0.14825218
              -11.059506                      0.14999056
              -10.778675                      0.15171179
              -10.497843                       0.1534147
              -10.217011                      0.15509815
              -9.9361795                      0.15676099
              -9.6553478                      0.15840204
              -9.3745161                      0.16002018
              -9.0936844                       0.1616143
              -8.8128527                      0.16318322
               -8.532021                      0.16472575
              -8.2511893                      0.16624082
              -7.9703576                      0.16772732
              -7.6895259                      0.16918401
              -7.4086942                      0.17060986
              -7.1278625                      0.17200382
              -6.8470308                      0.17336466
              -6.5661991                      0.17469123
              -6.2853674                      0.17598263
              -6.0045357                      0.17723782
               -5.723704                      0.17845559
              -5.4428723                      0.17963491
              -5.1620406                      0.18077493
              -4.8812089                       0.1818746
              -4.6003772                       0.1829328
              -4.3195455                      0.18394869
              -4.0387138                      0.18492142
              -3.7578821                      0.18584995
              -3.4770504                      0.18673335
              -3.1962187                      0.18757091
               -2.915387                      0.18836179
              -2.6345553                      0.18910508
              -2.3537236                      0.18980002
              -2.0728919                        0.190446
              -1.7920602                      0.19104223
              -1.5112285                      0.19158794
              -1.2303968                      0.19208257
             -0.94956507                      0.19252556
             -0.66873337                      0.19291627
             -0.38790167                      0.19325411
             -0.10706997                      0.19353867
              0.17376173                       0.1937695
              0.45459343                      0.19394609
              0.73542513                      0.19406805
               1.0162568                      0.19413514
               1.2970885                      0.19414704
               1.5779202                      0.19410339
               1.8587519                        0.194004
               2.1395836                      0.19384881
               2.4204153                       0.1936376
                2.701247                       0.1933702
               2.9820787                      0.19304668
               3.2629104                       0.1926671
               3.5437421                      0.19223136
               3.8245738                      0.19173954
               4.1054055                      0.19119193
               4.3862372                      0.19058869
               4.6670689                      0.18992992
               4.9479006                      0.18921592
               5.2287323                      0.18844716
                5.509564                      0.18762392
               5.7903957                      0.18674654
               6.0712274                      0.18581557
               6.3520591                      0.18483148
               6.6328908                       0.1837948
               6.9137225                      0.18270618
