        s / mm                X (7)/real
               224.66956                   -0.0051016659
               225.22171                    -0.003557541
               225.77387                   -0.0019840497
               226.32602                  -0.00039218276
               226.87817                    0.0012071779
               227.43033                    0.0028031041
               227.98248                    0.0043844546
               228.53463                    0.0059402656
               229.08679                    0.0074598876
               229.63894                    0.0089327752
               230.19109                     0.010348677
               230.74325                     0.011697875
                231.2954                     0.012971094
               231.84755                      0.01415952
                232.3997                     0.015254927
               232.95186                     0.016249779
               233.50401                     0.017137275
               234.05616                     0.017911323
               234.60832                     0.018566599
               235.16047                     0.019098678
               235.71262                     0.019503963
               236.26478                     0.019779682
               236.81693                     0.019924032
               237.36908                     0.019936125
               237.92124                     0.019815933
               238.47339                     0.019564374
               239.02554                     0.019183263
               239.57769                     0.018675311
               240.12985                     0.018044131
                 240.682                     0.017294086
               241.23415                     0.016430324
               241.78631                     0.015458909
               242.33846                     0.014386572
               242.89061                     0.013220597
               243.44277                     0.011968971
               243.99492                     0.010640267
               244.54707                     0.009243511
               245.09923                    0.0077881967
               245.65138                    0.0062841316
               246.20353                    0.0047414049
               246.75568                    0.0031704357
               247.30784                    0.0015817174
               247.85999                  -1.4273902e-05
               248.41214                   -0.0016069085
                248.9643                   -0.0031855998
               249.51645                   -0.0047400772
                250.0686                   -0.0062602613
               250.62076                    -0.007736208
               251.17291                   -0.0091583646
               251.72506                    -0.010517714
               252.27722                    -0.011805651
               252.82937                       -0.013014
               253.38152                    -0.014135268
               253.93367                    -0.015162625
               254.48583                    -0.016089772
               255.03798                    -0.016911181
               255.59013                    -0.017622184
               256.14229                    -0.018218748
               256.69444                    -0.018697581
               257.24659                    -0.019056317
               257.79875                     -0.01929337
                258.3509                    -0.019407917
               258.90305                    -0.019400013
               259.45521                    -0.019270518
               260.00736                     -0.01902104
               260.55951                    -0.018653987
               261.11166                    -0.018172556
               261.66382                    -0.017580627
               262.21597                    -0.016882717
               262.76812                     -0.01608406
               263.32028                    -0.015190562
               263.87243                    -0.014208627
               264.42458                     -0.01314516
               264.97674                    -0.012007557
               265.52889                     -0.01080357
               266.08104                   -0.0095413494
                266.6332                   -0.0082294489
               267.18535                   -0.0068765304
                267.7375                   -0.0054913126
               268.28965                   -0.0040828115
               268.84181                   -0.0026601761
               269.39396                   -0.0012323613
               269.94611                   0.00019178339
               270.49827                    0.0016033888
               271.05042                    0.0029937487
               271.60257                    0.0043545029
               272.15473                    0.0056775941
               272.70688                    0.0069552004
               273.25903                    0.0081798934
               273.81119                    0.0093447923
               274.36334                     0.010443448
