        Frequency / GHz                X (5)/abs,linear
               3.8525894                       5.5035355
                3.858054                       5.4995865
               3.8635187                        5.502662
               3.8689834                       5.5129359
                3.874448                       5.5301784
               3.8799127                       5.5537677
               3.8853774                        5.582727
                3.890842                       5.6157841
               3.8963067                        5.651447
               3.9017714                       5.6880903
                3.907236                       5.7240441
               3.9127007                       5.7576812
               3.9181654                       5.7874978
                 3.92363                       5.8121845
               3.9290947                       5.8306854
               3.9345594                        5.842246
                3.940024                       5.8464468
               3.9454887                       5.8432249
               3.9509534                       5.8328812
                3.956418                       5.8160746
               3.9618827                       5.7938013
               3.9673474                       5.7673593
                3.972812                       5.7382971
               3.9782767                       5.7083468
               3.9837414                        5.679342
                3.989206                       5.6531241
               3.9946707                       5.6314386
               4.0001354                       5.6158298
                  4.0056                       5.6075406
               4.0110647                       5.6074265
               4.0165293                       5.6158924
                4.021994                       5.6328593
               4.0274587                       5.6577645
               4.0329233                       5.6895958
                4.038388                       5.7269552
               4.0438527                       5.7681456
               4.0493173                       5.8112724
                4.054782                       5.8543506
               4.0602467                       5.8954108
               4.0657113                        5.932598
                4.071176                        5.964259
               4.0766407                       5.9890167
               4.0821053                       6.0058295
                 4.08757                       6.0140362
               4.0930347                       6.0133867
               4.0984993                       6.0040568
                4.103964                       5.9866492
               4.1094287                       5.9621776
               4.1148933                       5.9320352
                4.120358                       5.8979441
               4.1258227                       5.8618867
               4.1312873                       5.8260177
                4.136752                        5.792558
               4.1422167                       5.7636747
               4.1476813                        5.741352
                4.153146                       5.7272634
               4.1586107                       5.7226547
               4.1640753                       5.7282519
                 4.16954                       5.7442016
               4.1750047                       5.7700548
               4.1804693                       5.8047928
                4.185934                       5.8468943
               4.1913987                        5.894434
               4.1968633                       5.9452033
                4.202328                       5.9968403
               4.2077926                         6.04696
               4.2132573                        6.093276
                4.218722                        6.133709
               4.2241866                       6.1664786
               4.2296513                       6.1901785
                4.235116                       6.2038341
               4.2405806                       6.2069438
               4.2460453                       6.1995032
                 4.25151                       6.1820145
               4.2569746                       6.1554775
               4.2624393                       6.1213634
                4.267904                        6.081568
               4.2733686                       6.0383438
               4.2788333                       5.9942076
                4.284298                       5.9518244
               4.2897626                       5.9138699
               4.2952273                       5.8828754
                4.300692                       5.8610664
               4.3061566                        5.850207
               4.3116213                       5.8514666
                4.317086                       5.8653245
               4.3225506                       5.8915255
               4.3280153                       5.9290918
                 4.33348                       5.9763895
               4.3389446                        6.031241
               4.3444093                       6.0910693
                4.349874                       6.1530574
               4.3553386                       6.2143104
               4.3608033                        6.272007
                4.366268                       6.3235347
               4.3717326                        6.366605
               4.3771973                       6.3993466
                4.382662                       6.4203789
               4.3881266                       6.4288653
               4.3935913                       6.4245492
                4.399056                       6.4077724
               4.4045206                       6.3794755
               4.4099853                       6.3411795
               4.4154499                        6.294946
               4.4209146                       6.2433125
               4.4263793                       6.1891999
               4.4318439                       6.1357893
               4.4373086                       6.0863682
               4.4427733                       6.0441478
               4.4482379                       6.0120623
               4.4537026                       5.9925643
               4.4591673                       5.9874368
               4.4646319                       5.9976447
               4.4700966                       6.0232471
               4.4755613                       6.0633829
               4.4810259                       6.1163312
               4.4864906                        6.179638
               4.4919553                         6.25029
               4.4974199                       6.3249139
               4.5028846                       6.3999801
               4.5083493                       6.4719954
               4.5138139                       6.5376736
               4.5192786                       6.5940795
               4.5247433                       6.6387457
               4.5302079                        6.669764
               4.5356726                        6.685854
               4.5411373                        6.686411
               4.5466019                       6.6715361
               4.5520666                       6.6420471
