        Frequency / GHz                Z (8)/abs,linear
               2.8252322                        83.38094
               2.8306969                       96.918782
               2.8361615                       110.56898
               2.8416262                       123.75328
               2.8470909                       136.05484
               2.8525555                       147.15504
               2.8580202                       156.80101
               2.8634849                       164.78916
               2.8689495                       170.95691
               2.8744142                       175.17869
               2.8798789                       177.36425
               2.8853435                        177.4583
               2.8908082                       175.44088
               2.8962729                       171.32839
               2.9017375                       165.17538
               2.9072022                       157.07748
               2.9126669                       147.17637
               2.9181315                       135.66873
               2.9235962                       122.82286
               2.9290609                       109.01054
               2.9345255                        94.76986
               2.9399902                       80.928477
               2.9454549                       68.820839
               2.9509195                       60.508505
               2.9563842                       58.371549
               2.9618489                       63.368411
               2.9673135                       74.047258
               2.9727782                       88.096146
               2.9782428                       103.71562
               2.9837075                       119.74432
               2.9891722                        135.4261
               2.9946368                       150.23245
               3.0001015                       163.76677
               3.0055662                       175.71628
               3.0110308                       185.82817
               3.0164955                       193.89783
               3.0219602                       199.76324
               3.0274248                        203.3025
               3.0328895                       204.43313
               3.0383542                       203.11236
               3.0438188                       199.33808
               3.0492835                       193.15049
               3.0547482                       184.63468
               3.0602128                       173.92507
               3.0656775                       161.21302
               3.0711422                       146.76099
               3.0766068                        130.9299
               3.0820715                       114.23401
               3.0875362                       97.453668
               3.0930008                       81.861334
               3.0984655                       69.584398
               3.1039302                        63.67565
               3.1093948                       66.490275
               3.1148595                       77.227146
               3.1203242                       92.979646
               3.1257888                        111.1978
               3.1312535                       130.25572
               3.1367182                       149.14128
               3.1421828                       167.17441
               3.1476475                       183.85673
               3.1531122                       198.79878
               3.1585768                       211.68509
               3.1640415                       222.25737
               3.1695062                       230.30663
               3.1749708                       235.66973
               3.1804355                       238.22837
               3.1859001                       237.90923
               3.1913648                       234.68494
               3.1968295                       228.57571
               3.2022941                       219.65171
               3.2077588                        208.0369
               3.2132235                       193.91555
               3.2186881                       177.54412
               3.2241528                       159.27422
               3.2296175                       139.59911
               3.2350821                       119.25244
               3.2405468                       99.422986
               3.2460115                       82.191783
               3.2514761                       71.082059
               3.2569408                       70.191222
               3.2624055                       80.306111
               3.2678701                       98.007757
               3.2733348                       119.56444
               3.2787995                       142.60236
               3.2842641                       165.72503
               3.2897288                       188.04079
               3.2951935                       208.91587
               3.3006581                       227.86094
               3.3061228                       244.47908
               3.3115875                        258.4418
               3.3170521                         269.478
               3.3225168                       277.36933
               3.3279815                       281.94876
               3.3334461                       283.10078
               3.3389108                       280.76246
               3.3443755                       274.92518
               3.3498401                       265.63699
               3.3553048                       253.00604
               3.3607695                       237.20607
               3.3662341                       218.48632
               3.3716988                       197.19015
               3.3771635                       173.79325
               3.3826281                       148.98612
               3.3880928                        123.8629
               3.3935574                       100.36414
               3.3990221                       82.173357
