        Frequency / GHz                Z/abs,linear
               5.3335138                       444.56759
               5.3389785                       466.00338
               5.3444431                       478.67606
               5.3499078                        481.9746
               5.3553725                       475.88249
               5.3608371                       460.95266
               5.3663018                       438.31773
               5.3717665                       409.73689
               5.3772311                        377.6825
               5.3826958                       345.44764
               5.3881605                       317.16745
               5.3936251                       297.44877
               5.3990898                       290.18384
               5.4045545                       296.77742
               5.4100191                       315.31223
               5.4154838                       341.64837
               5.4209485                        371.2251
               5.4264131                        400.1426
               5.4318778                       425.44296
               5.4373424                       445.04163
               5.4428071                       457.59469
               5.4482718                       462.39417
               5.4537364                       459.30347
               5.4592011                       448.72622
               5.4646658                       431.60129

