        Distance / mm                Charge distribution (distance) (xtest=5)/real
               11.384245                   1.7703091e-08
               11.704928                   1.7517389e-08
               12.025611                   1.7328559e-08
               12.346294                   1.7136744e-08
               12.666977                   1.6942089e-08
               12.987659                   1.6744739e-08
               13.308342                   1.6544841e-08
               13.629025                   1.6342541e-08
               13.949708                   1.6137988e-08
               14.270391                   1.5931327e-08
               14.591074                   1.5722706e-08
               14.911757                   1.5512273e-08
                15.23244                   1.5300174e-08
               15.553123                   1.5086555e-08
               15.873806                   1.4871562e-08
               16.194489                   1.4655339e-08
               16.515172                    1.443803e-08
               16.835855                   1.4219777e-08
               17.156538                   1.4000722e-08
               17.477221                   1.3781004e-08
               17.797904                   1.3560762e-08
               18.118587                   1.3340131e-08
                18.43927                   1.3119246e-08
               18.759953                    1.289824e-08
               19.080636                   1.2677242e-08
               19.401318                   1.2456382e-08
               19.722001                   1.2235786e-08
               20.042684                   1.2015575e-08
               20.363367                   1.1795873e-08
                20.68405                   1.1576795e-08
               21.004733                   1.1358459e-08
               21.325416                   1.1140977e-08
               21.646099                   1.0924459e-08
               21.966782                   1.0709011e-08
               22.287465                   1.0494737e-08
               22.608148                   1.0281739e-08
               22.928831                   1.0070113e-08
               23.249514                   9.8599548e-09
               23.570197                   9.6513548e-09
                23.89088                   9.4444011e-09
               24.211563                   9.2391783e-09
               24.532246                   9.0357678e-09
               24.852929                   8.8342475e-09
               25.173612                   8.6346919e-09
               25.494295                   8.4371722e-09
               25.814977                   8.2417563e-09
                26.13566                   8.0485086e-09
               26.456343                     7.85749e-09
               26.777026                   7.6687583e-09
               27.097709                   7.4823678e-09
               27.418392                   7.2983693e-09
               27.739075                   7.1168106e-09
               28.059758                   6.9377359e-09
               28.380441                   6.7611863e-09
               28.701124                   6.5871997e-09
               29.021807                   6.4158107e-09
                29.34249                   6.2470509e-09
               29.663173                   6.0809485e-09
               29.983856                    5.917529e-09
               30.304539                   5.7568147e-09
               30.625222                    5.598825e-09
               30.945905                   5.4435764e-09
               31.266588                   5.2910825e-09
               31.587271                   5.1413543e-09
               31.907954                   4.9943999e-09
               32.228636                    4.850225e-09
               32.549319                   4.7088325e-09
               32.870002                   4.5702229e-09
               33.190685                   4.4343943e-09
               33.511368                   4.3013425e-09
               33.832051                   4.1710608e-09
               34.152734                   4.0435406e-09
               34.473417                   3.9187709e-09
                 34.7941                   3.7967389e-09
               35.114783                   3.6774296e-09
               35.435466                   3.5608264e-09
               35.756149                   3.4469105e-09
               36.076832                   3.3356618e-09
               36.397515                   3.2270582e-09
               36.718198                   3.1210761e-09
               37.038881                   3.0176906e-09
