        Frequency / GHz          Charge distribution spectrum/real
               3.0288252                   2.7811542e-10
               3.0382903                   2.7688668e-10
               3.0477554                   2.7565956e-10
               3.0572204                   2.7443409e-10
               3.0666855                    2.732103e-10
               3.0761506                    2.719882e-10
               3.0856157                   2.7076783e-10
               3.0950808                   2.6954921e-10
               3.1045458                   2.6833237e-10
               3.1140109                   2.6711733e-10
                3.123476                   2.6590412e-10
               3.1329411                   2.6469276e-10
               3.1424062                   2.6348328e-10
               3.1518712                   2.6227571e-10
               3.1613363                   2.6107006e-10
               3.1708014                   2.5986636e-10
               3.1802665                   2.5866464e-10
               3.1897315                   2.5746492e-10
               3.1991966                   2.5626722e-10
               3.2086617                   2.5507157e-10
               3.2181268                     2.53878e-10
               3.2275919                   2.5268651e-10
               3.2370569                   2.5149715e-10
                3.246522                   2.5030992e-10
               3.2559871                   2.4912486e-10
               3.2654522                   2.4794198e-10
               3.2749173                   2.4676131e-10
               3.2843823                   2.4558287e-10
               3.2938474                   2.4440668e-10
               3.3033125                   2.4323276e-10
               3.3127776                   2.4206113e-10
               3.3222427                   2.4089183e-10
               3.3317077                   2.3972485e-10
               3.3411728                   2.3856024e-10
               3.3506379                     2.37398e-10
                3.360103                   2.3623817e-10
                3.369568                   2.3508075e-10
               3.3790331                   2.3392577e-10
               3.3884982                   2.3277325e-10
               3.3979633                    2.316232e-10
               3.4074284                   2.3047566e-10
               3.4168934                   2.2933063e-10
               3.4263585                   2.2818814e-10
               3.4358236                    2.270482e-10
               3.4452887                   2.2591084e-10
               3.4547538                   2.2477606e-10
               3.4642188                    2.236439e-10
               3.4736839                   2.2251437e-10
                3.483149                   2.2138748e-10
               3.4926141                   2.2026326e-10
               3.5020791                   2.1914172e-10
               3.5115442                   2.1802288e-10
               3.5210093                   2.1690675e-10
               3.5304744                   2.1579335e-10
               3.5399395                   2.1468271e-10
               3.5494045                   2.1357483e-10
               3.5588696                   2.1246973e-10
               3.5683347                   2.1136743e-10
               3.5777998                   2.1026794e-10
               3.5872649                   2.0917128e-10
               3.5967299                   2.0807747e-10
                3.606195                   2.0698652e-10
               3.6156601                   2.0589844e-10
               3.6251252                   2.0481326e-10
               3.6345902                   2.0373098e-10
               3.6440553                   2.0265161e-10
               3.6535204                   2.0157518e-10
               3.6629855                    2.005017e-10
               3.6724506                   1.9943118e-10
               3.6819156                   1.9836364e-10
               3.6913807                   1.9729908e-10
               3.7008458                   1.9623753e-10
               3.7103109                   1.9517899e-10
                3.719776                   1.9412348e-10
                3.729241                   1.9307101e-10
               3.7387061                   1.9202159e-10
               3.7481712                   1.9097524e-10
               3.7576363                   1.8993197e-10
               3.7671014                   1.8889178e-10
               3.7765664                    1.878547e-10
               3.7860315                   1.8682073e-10
               3.7954966                   1.8578988e-10
               3.8049617                   1.8476217e-10
               3.8144267                   1.8373761e-10
               3.8238918                    1.827162e-10
               3.8333569                   1.8169797e-10
                3.842822                    1.806829e-10
               3.8522871                   1.7967103e-10
               3.8617521                   1.7866236e-10
               3.8712172                   1.7765689e-10
               3.8806823                   1.7665465e-10
               3.8901474                   1.7565563e-10
               3.8996125                   1.7465984e-10
               3.9090775                    1.736673e-10
               3.9185426                   1.7267802e-10
               3.9280077                     1.71692e-10
               3.9374728                   1.7070925e-10
               3.9469378                   1.6972979e-10
               3.9564029                   1.6875361e-10
                3.965868                   1.6778072e-10
               3.9753331                   1.6681115e-10
               3.9847982                   1.6584488e-10
               3.9942632                   1.6488193e-10
               4.0037283                   1.6392231e-10
               4.0131934                   1.6296602e-10
               4.0226585                   1.6201307e-10
               4.0321236                   1.6106347e-10
               4.0415886                   1.6011723e-10
               4.0510537                   1.5917434e-10
               4.0605188                   1.5823482e-10
               4.0699839                   1.5729867e-10
                4.079449                   1.5636591e-10
                4.088914                   1.5543652e-10
               4.0983791                   1.5451052e-10
               4.1078442                   1.5358792e-10
               4.1173093                   1.5266872e-10
               4.1267743                   1.5175292e-10
               4.1362394                   1.5084053e-10
               4.1457045                   1.4993156e-10
               4.1551696                   1.4902601e-10
               4.1646347                   1.4812387e-10
               4.1740997                   1.4722517e-10
               4.1835648                    1.463299e-10
               4.1930299                   1.4543806e-10
                4.202495                   1.4454966e-10
               4.2119601                    1.436647e-10
               4.2214251                   1.4278318e-10
               4.2308902                   1.4190512e-10
               4.2403553                   1.4103051e-10
               4.2498204                   1.4015935e-10
               4.2592854                   1.3929164e-10
               4.2687505                    1.384274e-10
               4.2782156                   1.3756662e-10
               4.2876807                    1.367093e-10
               4.2971458                   1.3585545e-10
               4.3066108                   1.3500507e-10
               4.3160759                   1.3415815e-10
                4.325541                   1.3331471e-10
               4.3350061                   1.3247474e-10
               4.3444712                   1.3163824e-10
               4.3539362                   1.3080522e-10
               4.3634013                   1.2997567e-10
               4.3728664                    1.291496e-10
               4.3823315                   1.2832701e-10
               4.3917966                   1.2750789e-10
               4.4012616                   1.2669225e-10
               4.4107267                    1.258801e-10
               4.4201918                   1.2507142e-10
               4.4296569                   1.2426621e-10
               4.4391219                   1.2346449e-10
                4.448587                   1.2266624e-10
               4.4580521                   1.2187147e-10
               4.4675172                   1.2108018e-10
               4.4769823                   1.2029237e-10
               4.4864473                   1.1950802e-10
               4.4959124                   1.1872716e-10
               4.5053775                   1.1794976e-10
               4.5148426                   1.1717584e-10
               4.5243077                   1.1640538e-10
               4.5337727                    1.156384e-10
               4.5432378                   1.1487488e-10
               4.5527029                   1.1411482e-10
                4.562168                   1.1335823e-10
                4.571633                    1.126051e-10
               4.5810981                   1.1185543e-10
               4.5905632                   1.1110921e-10
               4.6000283                   1.1036645e-10
               4.6094934                   1.0962713e-10
               4.6189584                   1.0889127e-10
               4.6284235                   1.0815885e-10
               4.6378886                   1.0742987e-10
               4.6473537                   1.0670434e-10
               4.6568188                   1.0598223e-10
               4.6662838                   1.0526356e-10
               4.6757489                   1.0454832e-10
                4.685214                   1.0383651e-10
               4.6946791                   1.0312811e-10
               4.7041442                   1.0242313e-10
               4.7136092                   1.0172157e-10
               4.7230743                   1.0102342e-10
               4.7325394                   1.0032867e-10
               4.7420045                   9.9637326e-11
               4.7514695                   9.8949377e-11
               4.7609346                    9.826482e-11
               4.7703997                   9.7583651e-11
               4.7798648                   9.6905865e-11
               4.7893299                   9.6231458e-11
               4.7987949                   9.5560423e-11
                 4.80826                   9.4892757e-11
               4.8177251                   9.4228454e-11
               4.8271902                   9.3567508e-11
               4.8366553                   9.2909915e-11
               4.8461203                   9.2255669e-11
               4.8555854                   9.1604765e-11
               4.8650505                   9.0957196e-11
               4.8745156                   9.0312957e-11
               4.8839806                   8.9672043e-11
               4.8934457                   8.9034447e-11
               4.9029108                   8.8400163e-11
               4.9123759                   8.7769185e-11
                4.921841                   8.7141506e-11
                4.931306                   8.6517122e-11
               4.9407711                   8.5896024e-11
               4.9502362                   8.5278208e-11
               4.9597013                   8.4663665e-11
               4.9691664                   8.4052389e-11
               4.9786314                   8.3444375e-11
               4.9880965                   8.2839613e-11
               4.9975616                   8.2238099e-11
               5.0070267                   8.1639825e-11
               5.0164918                   8.1044783e-11
               5.0259568                   8.0452967e-11
               5.0354219                   7.9864369e-11
                5.044887                   7.9278982e-11
               5.0543521                   7.8696798e-11
               5.0638171                   7.8117811e-11
               5.0732822                   7.7542012e-11
               5.0827473                   7.6969393e-11
               5.0922124                   7.6399948e-11
               5.1016775                   7.5833668e-11
               5.1111425                   7.5270546e-11
               5.1206076                   7.4710572e-11
               5.1300727                   7.4153741e-11
               5.1395378                   7.3600042e-11
               5.1490029                   7.3049469e-11
               5.1584679                   7.2502013e-11
                5.167933                   7.1957665e-11
               5.1773981                   7.1416418e-11
               5.1868632                   7.0878263e-11
               5.1963282                   7.0343191e-11
               5.2057933                   6.9811194e-11
               5.2152584                   6.9282263e-11
               5.2247235                    6.875639e-11
               5.2341886                   6.8233565e-11
               5.2436536                   6.7713781e-11
               5.2531187                   6.7197028e-11
               5.2625838                   6.6683297e-11
               5.2720489                   6.6172579e-11
                5.281514                   6.5664866e-11
                5.290979                   6.5160148e-11
               5.3004441                   6.4658416e-11
               5.3099092                   6.4159661e-11
               5.3193743                   6.3663874e-11
               5.3288394                   6.3171045e-11
               5.3383044                   6.2681166e-11
               5.3477695                   6.2194225e-11
               5.3572346                   6.1710216e-11
               5.3666997                   6.1229126e-11
               5.3761647                   6.0750949e-11
               5.3856298                   6.0275672e-11
               5.3950949                   5.9803288e-11
                 5.40456                   5.9333786e-11
               5.4140251                   5.8867157e-11
               5.4234901                   5.8403391e-11
               5.4329552                   5.7942478e-11
               5.4424203                   5.7484408e-11
               5.4518854                   5.7029172e-11
               5.4613505                   5.6576759e-11
               5.4708155                   5.6127159e-11
               5.4802806                   5.5680364e-11
               5.4897457                   5.5236362e-11
               5.4992108                   5.4795143e-11
               5.5086758                   5.4356698e-11
               5.5181409                   5.3921016e-11
                5.527606                   5.3488087e-11
               5.5370711                   5.3057901e-11
               5.5465362                   5.2630448e-11
               5.5560012                   5.2205717e-11
               5.5654663                   5.1783698e-11
               5.5749314                   5.1364382e-11
               5.5843965                   5.0947756e-11
               5.5938616                   5.0533812e-11
               5.6033266                   5.0122539e-11
               5.6127917                   4.9713926e-11
               5.6222568                   4.9307963e-11
               5.6317219                    4.890464e-11
                5.641187                   4.8503945e-11
                5.650652                   4.8105869e-11
               5.6601171                   4.7710401e-11
               5.6695822                    4.731753e-11
               5.6790473                   4.6927246e-11
               5.6885123                   4.6539538e-11
               5.6979774                   4.6154395e-11
               5.7074425                   4.5771808e-11
               5.7169076                   4.5391764e-11
               5.7263727                   4.5014255e-11
               5.7358377                   4.4639268e-11
               5.7453028                   4.4266793e-11
               5.7547679                    4.389682e-11
                5.764233                   4.3529338e-11
               5.7736981                   4.3164336e-11
               5.7831631                   4.2801803e-11
               5.7926282                   4.2441729e-11
               5.8020933                   4.2084102e-11
               5.8115584                   4.1728912e-11
               5.8210234                   4.1376149e-11
               5.8304885                     4.10258e-11
               5.8399536                   4.0677857e-11
               5.8494187                   4.0332307e-11
               5.8588838                    3.998914e-11
               5.8683488                   3.9648345e-11
               5.8778139                   3.9309911e-11
                5.887279                   3.8973828e-11
               5.8967441                   3.8640084e-11
               5.9062092                   3.8308669e-11
               5.9156742                   3.7979572e-11
               5.9251393                   3.7652781e-11
               5.9346044                   3.7328287e-11
               5.9440695                   3.7006078e-11
               5.9535345                   3.6686144e-11
               5.9629996                   3.6368473e-11
               5.9724647                   3.6053054e-11
               5.9819298                   3.5739878e-11
               5.9913949                   3.5428932e-11
               6.0008599                   3.5120207e-11
                6.010325                    3.481369e-11
               6.0197901                   3.4509373e-11
               6.0292552                   3.4207242e-11
               6.0387203                   3.3907289e-11
               6.0481853                   3.3609501e-11
               6.0576504                   3.3313868e-11
               6.0671155                    3.302038e-11
               6.0765806                   3.2729025e-11
               6.0860457                   3.2439792e-11
               6.0955107                   3.2152672e-11
               6.1049758                   3.1867652e-11
               6.1144409                   3.1584722e-11
                6.123906                   3.1303872e-11
                6.133371                   3.1025091e-11
               6.1428361                   3.0748368e-11
               6.1523012                   3.0473691e-11
               6.1617663                   3.0201051e-11
               6.1712314                   2.9930437e-11
               6.1806964                   2.9661838e-11
               6.1901615                   2.9395244e-11
               6.1996266                   2.9130643e-11
               6.2090917                   2.8868024e-11
               6.2185568                   2.8607379e-11
               6.2280218                   2.8348694e-11
               6.2374869                   2.8091961e-11
                6.246952                   2.7837169e-11
               6.2564171                   2.7584306e-11
               6.2658821                   2.7333363e-11
               6.2753472                   2.7084328e-11
               6.2848123                   2.6837191e-11
               6.2942774                   2.6591943e-11
               6.3037425                   2.6348571e-11
               6.3132075                   2.6107066e-11
               6.3226726                   2.5867417e-11
               6.3321377                   2.5629614e-11
               6.3416028                   2.5393646e-11
               6.3510679                   2.5159503e-11
               6.3605329                   2.4927175e-11
                6.369998                   2.4696651e-11
               6.3794631                   2.4467921e-11
               6.3889282                   2.4240974e-11
               6.3983933                     2.40158e-11
               6.4078583                    2.379239e-11
               6.4173234                   2.3570732e-11
               6.4267885                   2.3350816e-11
               6.4362536                   2.3132633e-11
               6.4457186                   2.2916171e-11
               6.4551837                   2.2701422e-11
               6.4646488                   2.2488374e-11
               6.4741139                   2.2277018e-11
                6.483579                   2.2067344e-11
                6.493044                   2.1859341e-11
               6.5025091                   2.1652999e-11
               6.5119742                   2.1448309e-11
               6.5214393                   2.1245261e-11
               6.5309044                   2.1043844e-11
               6.5403694                   2.0844048e-11
               6.5498345                   2.0645864e-11
               6.5592996                   2.0449282e-11
               6.5687647                   2.0254292e-11
               6.5782297                   2.0060884e-11
               6.5876948                   1.9869048e-11
               6.5971599                   1.9678775e-11
                6.606625                   1.9490055e-11
               6.6160901                   1.9302878e-11
               6.6255551                   1.9117234e-11
               6.6350202                   1.8933115e-11
               6.6444853                   1.8750509e-11
               6.6539504                   1.8569408e-11
               6.6634155                   1.8389802e-11
               6.6728805                   1.8211682e-11
