        s / mm                Z/real
               321.85598                      0.33471277
               322.43605                      0.31792452
               323.01612                      0.30035663
               323.59619                      0.28204869
               324.17626                       0.2630435
               324.75633                      0.24338339
                325.3364                      0.22311043
               325.91647                      0.20227088
               326.49653                       0.1809132
                327.0766                      0.15908348
               327.65667                       0.1368293
               328.23674                      0.11420283
               328.81681                     0.091255146
               329.39688                     0.068036242
               329.97695                     0.044599806
               330.55702                     0.021000211
               331.13708                   -0.0027093269
               331.71715                    -0.026473788
               332.29722                    -0.050237446
               332.87729                    -0.073944508
               333.45736                    -0.097538597
               334.03743                     -0.12096401
                334.6175                     -0.14416364
               335.19757                     -0.16707964
               335.77763                     -0.18965696
                336.3577                     -0.21183927
               336.93777                     -0.23356827
               337.51784                     -0.25478977
               338.09791                     -0.27544955
               338.67798                     -0.29549036
               339.25805                      -0.3148593
               339.83812                     -0.33350552
               340.41818                     -0.35137507
               340.99825                     -0.36841713
               341.57832                     -0.38458435
               342.15839                     -0.39982822
               342.73846                     -0.41410227
               343.31853                     -0.42736291
                343.8986                     -0.43956803
               344.47867                     -0.45067797
               345.05873                     -0.46065421
                345.6388                     -0.46946116
               346.21887                     -0.47706797
               346.79894                     -0.48344386
               347.37901                     -0.48855998
               347.95908                     -0.49239449
               348.53915                     -0.49492712
               349.11922                     -0.49613752
               349.69928                      -0.4960123
               350.27935                     -0.49454313
               350.85942                     -0.49172109
               351.43949                     -0.48754128
               352.01956                     -0.48200631
               352.59963                     -0.47512091
                353.1797                     -0.46689113
               353.75977                     -0.45732949
               354.33983                     -0.44645378
                354.9199                     -0.43428317
               355.49997                      -0.4208408
               356.08004                     -0.40615621
               356.66011                     -0.39026203
               357.24018                     -0.37319312
               357.82025                     -0.35498957
               358.40032                     -0.33569645
               358.98038                     -0.31536147
               359.56045                     -0.29403505
               360.14052                     -0.27177194
               360.72059                     -0.24863171
               361.30066                     -0.22467612
               361.88073                     -0.19996827
                362.4608                     -0.17457656
               363.04087                     -0.14857329
               363.62093                     -0.12202962
                 364.201                    -0.095019987
               364.78107                    -0.067624432
               365.36114                    -0.039921641
               365.94121                    -0.011990627
               366.52128                     0.016084118
               367.10135                     0.044218288
               367.68142                     0.072330053
               368.26148                      0.10033425
               368.84155                      0.12814339
               369.42162                       0.1556732
               370.00169                       0.1828408
               370.58176                      0.20956037
               371.16183                      0.23574717
                371.7419                      0.26132132
               372.32197                      0.28620242
               372.90203                       0.3103093
                373.4821                      0.33356575
               374.06217                      0.35589894
               374.64224                      0.37723623
               375.22231                       0.3975075
               375.80238                      0.41664722
               376.38245                      0.43459426
               376.96251                      0.45128947
               377.54258                      0.46667596
               378.12265                      0.48070394
               378.70272                      0.49332839
               379.28279                      0.50450489
               379.86286                      0.51419509
               380.44293                      0.52236839
                 381.023                      0.52899598
               381.60306                      0.53405317
               382.18313                      0.53752344
                382.7632                      0.53939438
               383.34327                      0.53965674
               383.92334                      0.53830853
               384.50341                      0.53535393
               385.08348                      0.53079994
               385.66355                      0.52465871
               386.24361                       0.5169506
               386.82368                      0.50770005
               387.40375                      0.49693353
               387.98382                      0.48468471
               388.56389                      0.47099399
               389.14396                      0.45590381
               389.72403                      0.43946088
                390.3041                      0.42171839
               390.88416                       0.4027331
               391.46423                      0.38256439
                392.0443                       0.3612758
               392.62437                      0.33893587
               393.20444                      0.31561611
               393.78451                       0.2913891
               394.36458                      0.26633147
               394.94465                      0.24052393
               395.52471                      0.21404687
               396.10478                      0.18698253
               396.68485                      0.15941763
               397.26492                      0.13143856
               397.84499                      0.10313073
               398.42506                     0.074582563
               399.00513                     0.045883885
                399.5852                     0.017122642
               400.16526                    -0.011614299
               400.74533                    -0.040238817
